TEU,ETD,ETDYear,ETDMonth,ETDWeek,CustomerBECode,CustomerName,SeaAir
0.1351,2012-11-30,2012,11,48,BENIKE2,Nike,OCE
0.1783,2012-11-30,2012,11,48,BENIKE2,Nike,OCE
0.0107,2012-11-22,2012,11,47,USNIKEINTL,Nike,OCE
0.0950,2012-11-22,2012,11,47,USNIKEINTL,Nike,OCE
0.0085,2012-12-28,2012,12,52,BENIKE2,Nike,OCE
0.4565,2012-12-25,2012,12,52,BENIKE2,Nike,OCE
2.0000,2012-12-10,2012,12,50,PEEQUPERU,Nike,OCE
2.0000,2012-12-10,2012,12,50,PEEQUPERU,Nike,OCE
0.1054,2012-11-18,2012,11,46,BENIKE2,Nike,OCE
0.2423,2012-12-18,2012,12,51,BENIKE2,Nike,OCE
0.0154,2012-12-17,2012,12,51,BENIKE2,Nike,OCE
0.0385,2012-12-16,2012,12,50,BENIKE2,Nike,OCE
0.0385,2012-12-17,2012,12,51,BENIKE2,Nike,OCE
1.4145,2012-12-22,2012,12,51,CNNIKESUZH,Nike,OCE
0.0531,2012-11-25,2012,11,47,BENIKE2,Nike,OCE
0.0423,2012-12-24,2012,12,52,BENIKE2,Nike,OCE
0.0388,2012-12-30,2012,12,52,THLCLNIKE,Nike,OCE
1.0000,2012-12-10,2012,12,50,PANORTHINT,Nike,OCE
0.0277,2012-11-19,2012,11,47,BENIKE2,Nike,OCE
0.0372,2012-11-19,2012,11,47,BENIKE2,Nike,OCE
0.2577,2012-11-19,2012,11,47,BENIKE2,Nike,OCE
0.0069,2012-11-19,2012,11,47,BENIKE2,Nike,OCE
0.0823,2012-12-17,2012,12,51,BENIKE2,Nike,OCE
0.1446,2012-12-14,2012,12,50,BENIKE2,Nike,OCE
0.3515,2012-12-06,2012,12,49,BENIKE2,Nike,OCE
1.0000,2012-12-28,2012,12,52,BENIKE2,Nike,OCE
0.9537,2012-12-02,2012,12,48,BENIKE2,Nike,OCE
0.0463,2012-12-02,2012,12,48,BENIKE2,Nike,OCE
1.0000,2012-11-27,2012,11,48,BENIKE2,Nike,OCE
1.0000,2012-12-07,2012,12,49,BENIKE2,Nike,OCE
0.3842,2012-11-28,2012,11,48,USNIKEINTL,Nike,OCE
0.2462,2012-12-24,2012,12,52,BENIKE2,Nike,OCE
0.0272,2012-12-24,2012,12,52,BENIKE2,Nike,OCE
0.0435,2012-11-28,2012,11,48,BENIKE2,Nike,OCE
0.4049,2012-12-26,2012,12,52,USNIKEINTL,Nike,OCE
0.0452,2012-12-18,2012,12,51,HKNIKEINTE,Nike,OCE
0.1554,2012-11-19,2012,11,47,BENIKE2,Nike,OCE
1.0000,2012-12-18,2012,12,51,BENIKE2,Nike,OCE
0.1873,2012-12-26,2012,12,52,BENIKE2,Nike,OCE
2.2500,2012-11-21,2012,11,47,BELCLNIKE,Nike,OCE
0.6158,2012-11-28,2012,11,48,USNIKEINTL,Nike,OCE
0.1107,2012-11-28,2012,11,48,USNIKEINTL,Nike,OCE
0.0715,2012-12-26,2012,12,52,BELCLNIKE,Nike,OCE
0.2059,2012-12-24,2012,12,52,BENIKE2,Nike,OCE
1.0000,2012-11-12,2012,11,46,BENIKE2,Nike,OCE
2.0000,2012-12-10,2012,12,50,PEEQUPERU,Nike,OCE
2.2500,2012-12-10,2012,12,50,PEEQUPERU,Nike,OCE
0.0500,2012-12-02,2012,12,48,BENIKE2,Nike,OCE
0.0385,2012-12-12,2012,12,50,BENIKE2,Nike,OCE
0.0246,2012-12-24,2012,12,52,PEEQUPERU,Nike,OCE
0.5415,2012-12-22,2012,12,51,BENIKE2,Nike,OCE
0.5042,2012-12-29,2012,12,52,BENIKE2,Nike,OCE
0.0578,2012-12-23,2012,12,51,USNIKEINTL,Nike,OCE
1.0000,2012-12-30,2012,12,52,SENIKEHYDR,Nike,OCE
0.3357,2012-12-29,2012,12,52,PANORTHINT,Nike,OCE
0.0765,2012-12-26,2012,12,52,USNIKEINTL,Nike,OCE
0.3277,2012-11-28,2012,11,48,SGTAIWAHDI,Nike,OCE
0.4659,2012-12-22,2012,12,51,BENIKE2,Nike,OCE
0.3188,2012-12-03,2012,12,49,BENIKE2,Nike,OCE
0.5295,2012-12-27,2012,12,52,BENIKE2,Nike,OCE
1.0000,2012-12-27,2012,12,52,BENIKE2,Nike,OCE
0.0385,2012-12-23,2012,12,51,BENIKE2,Nike,OCE
0.0347,2012-12-24,2012,12,52,BENIKE2,Nike,OCE
1.0000,2012-11-24,2012,11,47,BENIKE2,Nike,OCE
0.4738,2012-12-25,2012,12,52,BENIKE2,Nike,OCE
0.0904,2012-12-26,2012,12,52,BELCLNIKE,Nike,OCE
0.0296,2012-12-26,2012,12,52,BELCLNIKE,Nike,OCE
0.3585,2012-12-23,2012,12,51,SGTAIWAHDI,Nike,OCE
0.0100,2012-12-26,2012,12,52,USNIKEINTL,Nike,OCE
0.9496,2012-12-09,2012,12,49,BENIKE2,Nike,OCE
0.0385,2012-12-23,2012,12,51,BENIKE2,Nike,OCE
0.1254,2012-11-29,2012,11,48,BENIKE2,Nike,OCE
0.0386,2012-12-24,2012,12,52,BENIKE2,Nike,OCE
0.5086,2012-12-26,2012,12,52,USNIKEINTL,Nike,OCE
0.1565,2012-12-10,2012,12,50,BENIKE2,Nike,OCE
0.2135,2013-12-05,2013,12,49,BENIKE2,Nike,OCE
0.0465,2013-12-31,2013,12,1,BENIKE2,Nike,OCE
0.0565,2013-06-02,2013,6,22,BENIKE2,Nike,OCE
0.0738,2013-06-10,2013,6,24,BENIKE2,Nike,OCE
0.0527,2013-06-10,2013,6,24,BENIKE2,Nike,OCE
0.0358,2013-06-10,2013,6,24,BENIKE2,Nike,OCE
0.0185,2013-07-08,2013,7,28,BENIKE2,Nike,OCE
0.0122,2013-07-17,2013,7,29,BENIKE2,Nike,OCE
1.0000,2013-08-09,2013,8,32,BENIKE2,Nike,OCE
0.0656,2013-06-13,2013,6,24,BENIKE2,Nike,OCE
0.1421,2013-06-13,2013,6,24,BENIKE2,Nike,OCE
0.0779,2013-06-13,2013,6,24,BENIKE2,Nike,OCE
0.0479,2013-06-20,2013,6,25,BENIKE2,Nike,OCE
0.1733,2013-06-20,2013,6,25,BENIKE2,Nike,OCE
0.0980,2013-06-20,2013,6,25,BENIKE2,Nike,OCE
0.0399,2013-06-27,2013,6,26,BENIKE2,Nike,OCE
0.1026,2013-06-27,2013,6,26,BENIKE2,Nike,OCE
1.0000,2013-06-29,2013,6,26,BENIKE2,Nike,OCE
0.1979,2013-06-10,2013,6,24,BENIKE2,Nike,OCE
0.0737,2013-06-10,2013,6,24,BENIKE2,Nike,OCE
0.0823,2013-06-10,2013,6,24,BENIKE2,Nike,OCE
0.4797,2013-06-26,2013,6,26,BENIKE2,Nike,OCE
0.1041,2013-07-08,2013,7,28,BENIKE2,Nike,OCE
0.0671,2013-07-08,2013,7,28,BENIKE2,Nike,OCE
